line1,line2,line3,source
a white night --,salmon bones,curled against a log,tempslibres
dawn storm --,a bit of mountain ash,stirred into the snow,tempslibres
approaching winter --,I leave the seashell,at the bottom of my purse,tempslibres
morning haze --,ice drifts around,the river stones,tempslibres
a hawk searches,the dry grass --,sundogs,tempslibres
berry stains,along the sidewalk --,hint of frost,tempslibres
a bright morning --,the mud pulls away,from a frosty stone,tempslibres
sharp air --,the patch of blue,changes shape,tempslibres
new coolness --,a train's light moves,along the mountainside,tempslibres
a cold morning --,goose honks echo,off the pavement,tempslibres
steamed milk --,snowmelt running from,the coffee shop roof,tempslibres
walking meditation --,I pass through,a cloud of breath,tempslibres
the courtship songs,of so many birds --,wind through my shirt,tempslibres
spring currents --,the first gulls,picking bones,tempslibres
scent of new leaves --,a caterpillar swings,in a shaft of light,tempslibres
the empty bench --,spilled coffee,turned to ice,tempslibres
daylight moon --,the shadows of bubbles,under the ice,tempslibres
dog days --,driving to the lake,to watch the icebergs drift,tempslibres
after the rain --,a frog-shaped shadow,wavers in the puddle,tempslibres
wispy clouds --,the last blossom hangs,on the fireweed,tempslibres
discount store --,the unfinished tatoo,on the cashier's arm,tempslibres
new coolness --,a pool at the center,of the lupine leaves,tempslibres
spin cycle --,snow flakes swirl outside,the laundromat,tempslibres
sirens --,the wind pushes,a butterfly to the ground,tempslibres
the puddled field --,blades of grass,pierce a cloud,tempslibres
summer dust --,a caterpillar under,the whale bone arch,tempslibres
half-frog pose,I lie and listen,to the rain,tempslibres
fog patches --,a second little face,in the sonogram,tempslibres
a winged ant,crawls on hot asphalt --,end of summer,tempslibres
working Saturday --,the small shadows of pigeons,in the fog,tempslibres
night of meteors --,the first Christmas lights,go up on the block,tempslibres
scent of rain --,a whale-shaped cloud,hangs over the bay,tempslibres
between memories,and the parents' grave,the curtain of rain,tempslibres
skylight-,a contrail crosses,her line of coke,tempslibres
antique store-,the ocean loud,in a seashell,tempslibres
foggy glasses . . .,   a blurry paragraph,       above the bath water,tempslibres
the mailbox,captive in snowdrift,a letter from war,tempslibres
late afternoon ,a wind chime softly sings,in snowy garden,tempslibres
black ice,covers the street,uprooted tree,tempslibres
snow melt --,chewing gum spots appear,on the pavement,tempslibres
first crowing,breaks my sleep --,year of Rooster,tempslibres
traffic jam,melting snow runs,on the windshield,tempslibres
Japanese New Year,how small the new moon,in its halo,tempslibres
covered by snow,like the other stones,little Buddha,tempslibres
rivulets,on a foggy window,the cancer's spread,tempslibres
saying the rosary,a laborer,planting rice,tempslibres
rainy night---,her phone number,in my wallet,tempslibres
his shadow,passes me by---,the charcoal seller,tempslibres
the potter's fingers,wet with clay---,first rain,tempslibres
year's end --,a few tentative steps,on the river ice,tempslibres
garden wedding --,under the cherry blossoms,the bride's blush deepens,tempslibres
thaw--,a winter moth struggles,against a spider thread,tempslibres
evening rain,buying cherry trees,online,tempslibres
mid April,the grass finally,looks like grass,tempslibres
noon sun--,someone playing scales,on a saxophone,tempslibres
out of the fog,a white barn with painted,butterflies,tempslibres
paint peels off,the old white house,March thaw,tempslibres
same path,even in deep snow,the blind horse,tempslibres
shaving--,I share the mirror,with a spider,tempslibres
spring day,two hawks circle below,the contrails,tempslibres
spring flies,buzz above my head--,E flat,tempslibres
spring rain,cars slowly leave,the cemetery,tempslibres
starless sky,dead batteries,in the flashlight,tempslibres
campfire coffee. . .,condor wings glean,the first rays of sun,tempslibres
seed catalogues,in the mail daily--,morning snow fluries,tempslibres
drip.drip.drip.drip.drip.,the anticipation,of maple syrup,tempslibres
new March snow,the grouse with a missing toe,still around,tempslibres
quick mid-winter thaw,each icicle drips,at its own pace,tempslibres
"topless,",the skyscraper,in rain mist,tempslibres
summer twilight,push mowers stop,for crickets,tempslibres
fresh sawdust,among the birches --,his bent shoulders,tempslibres
fragrant daphne <>,the money collector stops,before he knocks,tempslibres
hailstorm <>,under the groaning roof,I hold my breath,tempslibres
alone,in the tea house,rainy night,tempslibres
blinding snow,man and dog tracks,run together,tempslibres
cold rain,a bunch of daffodils,against the brick wall,tempslibres
night stillness,a new mail,in the inbox,tempslibres
Valentine's Day,a red rose,stuck in the snow,tempslibres
courtyard of my childhood --,after so many dead people,the old lilac in bloom,tempslibres
I completely forgot,"the magnolia-tree,",till its bloom,tempslibres
I light on again,the candle on her grave,extuinguished by wind,tempslibres
under floating clouds,the cherry blossom snow --,in the same direction,tempslibres
Valentine's Day --,awakened by a kiss,from the dog,tempslibres
drumming,heartbeat,in the mist,tempslibres
In the space-between,trees and mist,a white buffalo,tempslibres
a famished mallard,has emigrated,to the city zoo,tempslibres
an ancient path,in a sky without time,departing geese,tempslibres
her Sunday dress,the color of bruises,merging,tempslibres
Saturday night,the sound of weeping,seeps from the wall,tempslibres
warm rain on the pond,my thoughts rise,with the koi,tempslibres
to the headstone,old footsteps frozen,in old snow,tempslibres
pissing in a puddle,droplets of moonlight,on her sandal,tempslibres
mango flavoured tea,in a silver tin - departing guests,linger a while,tempslibres
cold snap-,her pause before,each tulip,tempslibres
Coltrane,two floors up...floats,out a window,tempslibres
her hair,brushed with moonlight...,forty years ago,tempslibres
flat moon ...,an aspirine tablet and a,glass of water,tempslibres
I wake beside,my daughter's sick bed,a howling dog,tempslibres
bitter cold--,we don't chase the lone crow,from the sparrow's food,tempslibres
that long-ago kiss--,and still Orion strides,the winter sky,tempslibres
drunk tonight---,an elixir of cherry blossoms,and moonlight,tempslibres
eyeing,the apple,at buddha's feet,tempslibres
"the farmer,",planting corn under,a pregnant moon,tempslibres
a fly beats,against the window --,melting snow,tempslibres
a soda can,shot full of holes --,spring sun,tempslibres
Easter morning --,I head out into,trackless snow,tempslibres
first pussy willows --,the sound of a woodpecker,shifts again,tempslibres
home sick --,just the sound,of icicles dripping,tempslibres
spring frost --,a tower light pierces,the sunset,tempslibres
spring in the air --,my walking stick pierces,crusted snow,tempslibres
subzero --,a moth flies towards,the moonlit door,tempslibres
dachau,a blue sky above,the chimneys,tempslibres
morning frost,she leaves,first,tempslibres
evening walk,smell of tar between,pines,tempslibres
on CNN,if you listen carefully,you can hear,tempslibres
december,a long shadow,joins another,tempslibres
end of path,snowflakes melting,on the pond,tempslibres
late winter -,opening the saijiki,to early spring,tempslibres
drunk on the beach-,the moon in my sake cup,disappears,tempslibres
after its first flight,the young gerfalcon's talons,tighter on my glove,tempslibres
chill wind,beneath the monk's robe,a naked monk,tempslibres
sudden gust,carp leap from poles,to gulp the air,tempslibres
moonless night,a cereus cactus opens,solstice blooms,tempslibres
ex-girlfriend,with a baby carriage,spring rain,tempslibres
the gap,between the mountains,filled with fog,tempslibres
somewhere,in the graveyard,birdsong,tempslibres
pelting rain,on the car radio,nothing but blues,tempslibres
also,in the fog,the scent of autumn,tempslibres
cold dark night,the warmth of her hand,in mine,tempslibres
behind the man,in the open doorway,nothing but darkness,tempslibres
snow and rain mixed,my angry words,and her tears,tempslibres
death,of an old friend,my cup empty,tempslibres
winter night,finding my pajama bottoms,on my wife,tempslibres
70 mph,the infant snores,a bit slower,tempslibres
light rain,"on sweet, sweet clover",late summer's dusk,tempslibres
winter rain,the confusion in her voice,all over again,tempslibres
no island,in the bay today,morning fog,tempslibres
stop sign,thru the bullet holes,ghetto moon,tempslibres
rainy morning,the haijin stirs,sugar in his coffee,tempslibres
Central Park,the echo of her voice,in every direction ,tempslibres
sunny day,a wasp tastes,everyone's beer,tempslibres
dusk--,the mason jar filled,with fireflies,tempslibres
Eucharist,pious women still weeping,for Jesus ,tempslibres
winter wonderland,even the burnt out car,looks beautiful,tempslibres
afternoon tea --,the old climbing rose,somehow whiter,tempslibres
chilly tea-time --,finding new cyclamen leaves,in an old plant-pot.,tempslibres
almost home,the full moon between,two houses,tempslibres
roadside rest stop,he adds a haiku,to the graffiti,tempslibres
dull pencil,the staff meeting goes,on and on,tempslibres
senior's home,we celebrate the new year,a 7:00 pm,tempslibres
strong wind,back and forth on lake ice,streetlight reflections,tempslibres
black hole,near beaver dam a whirlpool spins,autumn leaves vanish,tempslibres
balmy evening,the stillness of sheets,on the line,tempslibres
sultry afternoon,only the mailbox shadow,crosses the dirt road,tempslibres
long journey back home --,a forgotten bale of hay,slowly rots away,tempslibres
afternoon escape,within the prison walls,a library,tempslibres
strong April wind,the smell of Iowa hogs,in Minnesota,tempslibres
homework --,after the school bus passes,a spider rebuilds,tempslibres
in the orchard,rotten apples now crunchy,winter solstice,tempslibres
her famous blue haiku,about her divorce,and his cactus,tempslibres
fading light -,the stone steps brighter,than the foliage,tempslibres
storm clouds -,mother searches for,candles,tempslibres
lavender blooms,next to the violets,in a blue pot,tempslibres
after a cold night,a cup of coffee -,"oh, man!",tempslibres
Xmas away from home -,B-52 pilot,dressed as Santa,tempslibres
hedgehog in the fog,looking for apples,under the wrong tree,tempslibres
van gogh's blue irises,"hangs on a wall, with",other gardens,tempslibres
restless night,the morning starts,without me,tempslibres
in the grasses,crickets calling,the full moon,tempslibres
old pond -,another lily,in bloom,tempslibres
storm clouds -,the roofer talks about,overtime,tempslibres
nearly eighty -,opening,a jar of preserves,tempslibres
a dark horse,with a blue harness --.,winter solstice,tempslibres
spring wind --,the magnolia sweeps,the sky,tempslibres
night shift --,he tree frogs sing a road,through the forest,tempslibres
Nun and monk,watching the blue heron,fishing in the bay,tempslibres
Autumn mist obscures,the island in the distance,she cleans her glasses,tempslibres
winter night,hot buttered rum,fog on glasses,tempslibres
In the forest,patches of blue between,the tall pines,tempslibres
The tall pines,etched against the sky,late September,tempslibres
Nun and monk,read the book together,in two tongues,tempslibres
rainy day,in the rainforest,"drip, drip, drip",tempslibres
The curved cheek,of the young monk,sunlight on the bay,tempslibres
the seasons change,she buys new,colour contacts,tempslibres
lost in her mind,fields of white daisies,and summer,tempslibres
mason jar,full of dead fireflies,dark night,tempslibres
half-dark sky,a slow roll of thunder,joins the cicada,tempslibres
wave-sound,the smooth stone,fits my hand,tempslibres
lost friendship,a stray wisp of fog clings,to the canyon,tempslibres
hot night,the moon nearly full,the mosquitoes too,tempslibres
funeral procession,a bee lands,on the flowers,tempslibres
Gandhi's birthday,constantly relighting candles,during the peace March,tempslibres
morning radio news,a snail crawls up the front wheel,of the express bus,tempslibres
hilltop,the clouds,rising to my feet,tempslibres
morning chill,a spider's web gleams,on the barbed wire,tempslibres
along the pavement,snatches of the same song,from different radios,tempslibres
monotonous rain,frogs singing,in many voices,tempslibres
clear night,a fireworks flower,opens against the full moon,tempslibres
monsoon clouds,a solitary,bright red kite,tempslibres
rain clouds,a kingfisher watches,the busy traffic,tempslibres
sultry afternoon,iridiscent fly gleams green,or maybe blue,tempslibres
dry stream bed,clouds drift,above the train,tempslibres
windy,a floating leaf,turns butterfly,tempslibres
cloudburst,two men in the doorway,chat about war,tempslibres
her father's grave -,the little girl leaves a picture,of a dinosaur,tempslibres
Handel's Messiah,the same tapes my late-grandmother,listened to,tempslibres
my son's twelfth birthday,a rabbit hops,across the busy street,tempslibres
distant thunder --,a shower of pollen,falls from the trees,tempslibres
sunny spring day,walking through a cloud,of perfume,tempslibres
staring at me,from the bathroom mirror,an age spot,tempslibres
the end of summer --,my light beer,suddenly darker,tempslibres
Autumn colors --,the receptionist's,bright red hair,tempslibres
Ash Wednesday --,the priest,lights a cigarette,tempslibres
between,silent construction cranes,the Milky Way,tempslibres
first frost --,I trim,my graying beard,tempslibres
three shades too dark,the lipstick,on his collar,tempslibres
my daughter starts college --,another empty,pint of beer,tempslibres
first day of vacation --,shooting star,on a moonless night,tempslibres
a familar name,on the victims list --,my coffee grows cold,tempslibres
where dirty snow,meets road salt,a dozen roses,tempslibres
afghan invasion --,the dog,on my side of the bed,tempslibres
Spring snow --,an expecting mother rests,her hands on her belly,tempslibres
the train arrives,one more sip,from an empty cup of coffee,tempslibres
approaching storm --,my twelve year-old's fascination,with war,tempslibres
energy crisis --,long line,at the coffee shop,tempslibres
snow mixes with rain --,my mother keeps calling me,by my brother's name,tempslibres
the haze lifts --,she tosses her hair,over her shoulder,tempslibres
my daughter's graduation,tightening the knot,on my necktie,tempslibres
away on business --,the restless cat,on your side of the bed,tempslibres
train running late,an ant climbs,the station wall,tempslibres
dangerous lightning --,she watches me,watching her,tempslibres
crowded train station --,the tap tap thump,of a blind man's cane,tempslibres
planning our trip,lightning flashes,beyond the horizon,tempslibres
wedding night,the parents of the bride,in separate beds,tempslibres
unhooking her bra,the moon peeks,over the treetops,tempslibres
snow outside,a small bowl,of imported oranges,tempslibres
blowing bubbles,my breath floats away,in different sizes,tempslibres
a temple garden,snowy path to bronze bell,having deep footprints,tempslibres
three feet distance,needed for reading my ku,without glasses,tempslibres
jumping ice cubes,all over the floor,... a hair in my whiskey,tempslibres
wiping the full moon,from a wet glossy table,with my bare hand,tempslibres
her garden bench,she was always sitting----,butterfly on moss,tempslibres
new freedom,blue dress now,a table cloth,tempslibres
stillness . . .,a few flat stones,beneath the pine,tempslibres
purple irises,stand still,rain or shine,tempslibres
lunch at the cove,the ebb and flow,of their conversation,tempslibres
crisp morning air,a bird left his feather,at my window,tempslibres
muggy night,a lizard on the window screen,- motionless,tempslibres
scent of lilies,orange pollen,on my white sweater,tempslibres
summer night breeze,each wish,on bamboo branches,tempslibres
rain clouds,fragrance of,sweet basil,tempslibres
moonless night -,the bell buoy,talks to itself,tempslibres
never in darkness,ground zero lights the night,New Year's Eve,tempslibres
morning tea,he cups his hands,around the glass,tempslibres
thrill of her flute -,twenty three years,of our lips touching,tempslibres
summer haze-,a lone grey wolf pads south,along the highway,tempslibres
stilled by the stream -,delicate frost flowers,crunch under work boots,tempslibres
after the guests leave,the lilies,open,tempslibres
"Lighting the room,",candle by candle;,a winter evening.,tempslibres
the mulberry--,one brief smell of cut wood,in two hours work,tempslibres
divorce hearing,we talk about,the rain,tempslibres
daybreak,the train graffiti drips,autumn dew,tempslibres
stroke of midnight,the blast of foghorns,along the coast,tempslibres
after the rain,I check the growth,of each tulip,tempslibres
the night train passes,along the mountain trail,garlic snores,tempslibres
the rain,almost a friend,this funeral,tempslibres
carousel rider,the pole still warm,from her touch,tempslibres
gray drizzle,for miles and miles,this road I'm on,tempslibres
old cottonfields,a long time,between snows,tempslibres
harmonica player,he cups the cold,in his hands,tempslibres
our anniversary,so many candle flames,in the mirror,tempslibres
early summer,the ice cream truck,makes another round,tempslibres
ring around the moon,I remember parts,of a nursery rhyme,tempslibres
new gravesite,the persistent taps,of a woodpecker,tempslibres
empty bleachers,a late night fog,takes the field,tempslibres
butterfly on the windshield,another journey,incomplete,tempslibres
emergency broadcast,we head for the storm cellar,with a bottle of wine,tempslibres
late spring,each clock in the house,shows a different time,tempslibres
leaving home,the warmth still inside,my freshly ironed shirt,tempslibres
dead leaves and rust,a few things remain,in the fallout shelter,tempslibres
liberty market,one free pickle,from the barrel,tempslibres
evening walk,same flickering glow,house to house,tempslibres
Museum of Transport,"train, tracks and gravel",the morning sun warms up,tempslibres
between Lake Erie,and the nuclear station,fireflies,tempslibres
the wind all night,rips limbs from the trees-,a long wait for dawn,tempslibres
nearly 60 --,so many mountains around me,still unclimbed,tempslibres
passing cars,replace sheep,this sleepless night,tempslibres
reoccurrence,of cancer ---,no spring this year,tempslibres
slender grasses,and warm summer rain,touching the buddha,tempslibres
carousel music,the little girl's smile,comes round again,tempslibres
into dusk,the white rose,still whiter,tempslibres
wisp of clouds,the slow spiral of cream,in my espresso,tempslibres
almost dusk - ,the zigzag flight,of linked dragonflies,tempslibres
at the hotel,plugging in my laptop,for a touch of home,tempslibres
lifting fog --,a few white feathers,in the raven's breast,tempslibres
the evening train,almost empty --,sundogs,tempslibres
lenghtening days --,a bird's shadow crosses,the yellow wall,tempslibres
week of rain --,the henna tatoo,fading fast,tempslibres
low tide --,a shorebird's call,rises from the mud,tempslibres
bank thermometers --,the temperature changes,all the way home,tempslibres
wildfire haze,between the icebergs --,the blue wind,tempslibres
dandelions --,I lose sight of,the yellow butterfly,tempslibres
soft rain,fishing line parts,a cloud of gnats,tempslibres
Sunday drive --,all the rain clouds,toward home,tempslibres
summer salad --,a nasturtium burns,the tip of my tongue,tempslibres
season's end --,the scent of fish,drifts downstream,tempslibres
new moon --,lamplight fills the holes,in a shot-out sign,tempslibres
dusk--,a yellow leaf passes,through the beaver dam,tempslibres
subzero --,the icicles filled,with moonlight,tempslibres
new coolness --,a cloud passes through,the mountain notch,tempslibres
evening light,following the anchor line,into the sea,tempslibres
long cold snap --,the icicle,begins to fork,tempslibres
moss growing,on the manhole cover --,winter rain,tempslibres
how quickly,the nights grow longer --,fireweed in bloom,tempslibres
someone whistling,Blue Moon at the falls --,the mist,tempslibres
a spider web,caught in my hand;,scent of rain,tempslibres
a damp evening --,each of us with,our own cloud of gnats,tempslibres
a long split,in the black inky cap --,snow clouds,tempslibres
low clouds --,a gull circles above,the police car light,tempslibres
snowy banks --,the drifting duck leans,into a curve,tempslibres
my sweaty skin --,enough for three weeks,his ironed shirts,tempslibres
beggar's steps,at the bakery,slower and slower,tempslibres
my hand,    on her hip,         full moon,tempslibres
rain,the white lilac,low,tempslibres
over the hedge,a dragonfly,east,tempslibres
Deep autumn;,The apple colder,In the tree.,tempslibres
temple courtyard,through the morning fog,peach blossoms,tempslibres
winter -,white peonies,in falling snow,tempslibres
rain,falls from the trees,on the blue iris,tempslibres
winter beach -,three grey lines,"of sand, sea and sky",tempslibres
through lace ~,the tracery of frost,on glass,tempslibres
wisteria -,blooming before,the end of rain,tempslibres
full moon,only you at my window,an empty face,tempslibres
faintly purple,against the moon -,pines in the light,tempslibres
the last light of day ~,purple rhododendrons,dissolve in the dark,tempslibres
trembling,the hair ribbon falls,with inhibitions,tempslibres
beautiful orange butterfly,lands on his shoulder~,oblivious,tempslibres
brilliant Venus drips,from a gold crescent moon,this night as the first,tempslibres
fogged window,a blend of green and gray -,hot tea with milk,tempslibres
morning fog,dissolving cypress -,sfumato,tempslibres
back and forth,grinding ink slowly,the weight of my words,tempslibres
sand through fingers,a tracery of palms,on midnight blue,tempslibres
silken winds,i am wrapped in quietness,of cottonwood seeds,tempslibres
screen of pine,white silence glides,on egret wings,tempslibres
after the fireworks,he marvels,at the moon,tempslibres
in the empty schoolyard,only plastic bags,are going the rounds,tempslibres
for a moment,the gull in the air,is very white,tempslibres
spring breeze--,between pages of an old book,a crushed rose,tempslibres
smell of rain -,soft ridges of mint leaves,oil my fingers,tempslibres
evening sky,counting some fireflies,more than once,tempslibres
the glass jar,full of fireflies,bedtime,tempslibres
putting a cork,in last night's wine,late autumn,tempslibres
A cold morning;,the pink of tulips,through the mist.,tempslibres
Purple loosestrife;,pale in the,lingering mist.,tempslibres
November fog;,not a tree,to be seen.,tempslibres
after the dream,the scent of approaching rain,in the dusty air,tempslibres
after loving-making,scent of wild clover,through the window,tempslibres
my children and I,race to see the sunset,before it fades,tempslibres
summer's end,the tenderness,of light,tempslibres
autumn twilight,captures the mood of leaves,swirling everywhere,tempslibres
white cloud of a moon,drifting in the morning sky,these October days,tempslibres
morning moon,filling up my window,autumn's end,tempslibres
This morning the geese,have taken over the skies,in wild abandon,tempslibres
alabaster moon ~,glowing among bare pine tops,in cool mountain mist,tempslibres
kissing her slowly,where the rain,never falls,tempslibres
smell of rain,young deer run,across the field,tempslibres
white clouds,glide safely,over mine fields,tempslibres
Herding sheep;,the prickly smell,of wet wool.,tempslibres
Late summer;,the greyness of dusk,without fireflies.,tempslibres
bus stop -,all eyes,on the migrating geese,tempslibres
crashing waves-,my thoughts move,with the tide,tempslibres
circle time,she describes her mother,finding a vein,tempslibres
almost Christmas ~,thinking how best to reveal,that dad beats mum,tempslibres
behind net curtains,her face glides from window,to window,tempslibres
her skin,pale in the moonlight,ebb tide,tempslibres
ancient stone circle,the flow,of a robin's song,tempslibres
her small fingers,tightly grip the pencil,--writing her new name,tempslibres
house for sale--,the dandelions allowed,to bloom,tempslibres
hot day--,the cool inside,an apple,tempslibres
in the attic,the sound of march rain,so much louder,tempslibres
A snowy footbridge,the sound of water,under the ice.,tempslibres
Christmas dinner,grandma's fruit cake attracts,only blue jays,tempslibres
A spring morning;,The pond's surface blurred,By raindrops.,tempslibres
Afternoon rain;,Scents rise,From the garden.,tempslibres
new buds,on old branches,once again,tempslibres
summer afternoon,the scent of evergreens,slowly spreading,tempslibres
looking at the sky,dandelions with haircuts,"oh, that wind, that wind",tempslibres
Autumn night --,Puddles by the wayside,filling with the stars,tempslibres
void encroaches,as vision vanishes:,glaucoma wins,tempslibres
graded papers,suddenly the rosebush,blooming,tempslibres
beginning of winter,the snow piled high,on the lawn chairs,tempslibres
Purple nights,fold into morning,"whiteouts,",tempslibres
stars,a full pool,in the garden,tempslibres
through closed eyelids,lightning strikes,my dream,tempslibres
cloudless sky,the gleam of fresh lemons,in a blue bowl,tempslibres
late frost,warmth of the tea mug,against my cheek,tempslibres
library return,her hand's warmth,lingers in the book,tempslibres
breakfast alone--,I find the dove's feather,he left for me,tempslibres
after the postman --,nothing in the mailbox,except a lizard,tempslibres
November afternoon,the insistent bell,of an ice cream vendor,tempslibres
A lull in the storm --,the woodpecker darts,to another tree.,tempslibres
The thyme,has gone to seed --,summer's end.,tempslibres
fine shell new moon,onto cherry pink horizon...,shades of easter egg,tempslibres
cold attic -,faded cigar box,filled with seashells,tempslibres
antique store window,looking at dirty street snow,through colored bottles,tempslibres
Eating alone --,The sound of cold milk,Into a glass.,tempslibres
One just sits;,And blue dawn light floods,his poor house.,tempslibres
"Soprano, clear and cool,",and pale violin float;,Above the freeway noise.,tempslibres
concentration camp,winter branches touch,the statue's shoulders,tempslibres
aged painter ~,trembling leaves,from the tip of his brush,tempslibres
valentine's day,only rain,on the scarecrow,tempslibres
stripping off,her sweatshirt ~,sparks in the dark,tempslibres
A red berry falls,Staining the snow --,A silent sunset.,tempslibres
This dark night;,Only white spots move,On the calico cat.,tempslibres
here and there,breaking through the dusk's mist,bright lights,tempslibres
poetry meeting,I try to read my haiku...,a frog in my throat,tempslibres
a gloomy sunday,I sip my wine,and watch the rain,tempslibres
long after,the funeral service,- the unspoken words,tempslibres
on the roof late --,my brother hammers nails,in the moon,tempslibres
mid-summer --,the nighthawk cries between,Pittsburgh and heaven,tempslibres
cold spring --,burnt waffles,and raspberry jam,tempslibres
cold nose,burrow of warm flannel -,morning light,tempslibres
An ocean breeze,flips through empty pages --,haijin's notebook,tempslibres
long after,the witching hour,a candle flutters,tempslibres
Pressed among pages,of old dictionary,a list of action verbs,tempslibres
Wind howls and,the cedars sway --,drunken sailors,tempslibres
after the party,a lone woman drinks,a birthday gift,tempslibres
grey sea and sky,she dreams of,blue irises,tempslibres
Still under white sheet,his body four hours later-,Rain beats on pavement.,tempslibres
Mother's Day;,the smell of roses,near a grave.,tempslibres
autumn's end,the air smells,different,tempslibres
candlelight bath,the steam rises,from my toes,tempslibres
Now the shore is grey,and the wind is sharp with rain.,Some day we'll sit close,tempslibres
wild iris,in the marsh,unreachable,tempslibres
morning tai chi ~,a breeze stirs the spent petals,of the cherry blossoms,tempslibres
birdsong ~,the rush of the river,over stones,tempslibres
spring afternoon ~,the leaf shadow spreads,on the pond,tempslibres
contact lenses ~,the pines on that hill clear,for the first time,tempslibres
open suitcase ~,she reads the oncology report,backwards,tempslibres
before my door,your footprints in the snow,from last night,tempslibres
brightening sky,the low from street lamps,still lingers,tempslibres
bamboo flute,the scent,of green tea,tempslibres
at the end,of a long learning curve,a helmut of white hair,tempslibres
midwinter vanished,in a bite of homemade,strawberry preserves,tempslibres
while washing spinach,how nice to find,a haiku there,tempslibres
at the feeder,more birds than room,the smell of snow,tempslibres
5am--,bird songs lost,in air conditioner noise,tempslibres
mud puddles,leaving behind,a high heel,tempslibres
cold starry night -,from the forest edge the sound,of animal kill,tempslibres
after four hours of sleep,light snow fills,an empty cup,tempslibres
bitterly cold,a box of old love letters,hidden in the attic,tempslibres
market forecast:,record warmth,followed by rain,tempslibres
in the produce aisle,a voluptuous woman,compares melons,tempslibres
my son's eleventh birthday --,miles of cold gray rain,between us,tempslibres
Mass Pike trafic,the bright red glare,of her lipstick,tempslibres
reflecting,the graffiti landscape,Soho rain,tempslibres
first date --,under the streetlight,our shadows hold hands,tempslibres
tent revival,the preacher's wife,in a miracle bra,tempslibres
asleep on the train,the gentle rise and fall,of her breasts,tempslibres
commuter daydream --,I follow the slit in her skirt,into oncoming trafic,tempslibres
her well-tanned shoulders,wrapped in a sweater --,the end of summer,tempslibres
the NASDAQ falls --,moss clings,to a weathered tombstone,tempslibres
troubled sleep --,somewhere in the darkness,an unlocked door,tempslibres
staring at her neckline,the deep plunge,of the NASDAQ,tempslibres
lunch hour --,the automatic teller machine,eats my card,tempslibres
Veterans' cemetery--,a wide expanse of lawn,beyond the graves.,tempslibres
A pear;,A worm's hole leaves,a bitter taste.,tempslibres
flea market -,a sitting buddha,on his left side,tempslibres
new cracks,in an old mirror,I just noticed,tempslibres
autumn storm,lightning flashes,on buddah's belly,tempslibres
while dusting buddha's mouth,is smile disappeared,for a few seconds,tempslibres
April shower -,last drop,of green tea,tempslibres
Morning fog -,only the scent of,eucalyptus,tempslibres
in the mirror,a much older woman,returns my glance,tempslibres
